FECHA_CORTE;ANP_CATE;ANP_CODI;ANP_NOMB;ANP_SECT;ANP_UBPO;ANP_SULEG;ANP_UICN;ANP_BALEC;ANP_FELEC;ANP_BALEM;ANP_FELEM;ANP_WDPAID;UBIGEO1;DEPARTAMENTO1;PROVINCIA1;DISTRITO1;UBIGEO2;DEPARTAMENTO2;PROVINCIA2;DISTRITO2;UBIGEO3;DEPARTAMENTO3;PROVINCIA3;DISTRITO3;UBIGEO4;DEPARTAMENTO4;PROVINCIA4;DISTRITO4;UBIGEO5;DEPARTAMENTO5;PROVINCIA5;DISTRITO5;UBIGEO6;DEPARTAMENTO6;PROVINCIA6;DISTRITO6;UBIGEO7;DEPARTAMENTO7;PROVINCIA7;DISTRITO7;UBIGEO8;DEPARTAMENTO8;PROVINCIA8;DISTRITO8;UBIGEO9;DEPARTAMENTO9;PROVINCIA9;DISTRITO9;UBIGEO10;DEPARTAMENTO10;PROVINCIA10;DISTRITO10;UBIGEO11;DEPARTAMENTO11;PROVINCIA11;DISTRITO11;UBIGEO12;DEPARTAMENTO12;PROVINCIA12;DISTRITO12;UBIGEO13;DEPARTAMENTO13;PROVINCIA13;DISTRITO13;UBIGEO14;DEPARTAMENTO14;PROVINCIA14;DISTRITO14;UBIGEO15;DEPARTAMENTO15;PROVINCIA15;DISTRITO15;UBIGEO16;DEPARTAMENTO16;PROVINCIA16;DISTRITO16;UBIGEO17;DEPARTAMENTO17;PROVINCIA17;DISTRITO17;UBIGEO18;DEPARTAMENTO18;PROVINCIA18;DISTRITO18;UBIGEO19;DEPARTAMENTO19;PROVINCIA19;DISTRITO19;UBIGEO20;DEPARTAMENTO20;PROVINCIA20;DISTRITO20;UBIGEO21;DEPARTAMENTO21;PROVINCIA21;DISTRITO21;UBIGEO22;DEPARTAMENTO22;PROVINCIA22;DISTRITO22;UBIGEO23;DEPARTAMENTO23;PROVINCIA23;DISTRITO23;UBIGEO24;DEPARTAMENTO24;PROVINCIA24;DISTRITO24;UBIGEO25;DEPARTAMENTO25;PROVINCIA25;DISTRITO25;UBIGEO26;DEPARTAMENTO26;PROVINCIA26;DISTRITO26;UBIGEO27;DEPARTAMENTO27;PROVINCIA27;DISTRITO27;UBIGEO28;DEPARTAMENTO28;PROVINCIA28;DISTRITO28;UBIGEO29;DEPARTAMENTO29;PROVINCIA29;DISTRITO29;UBIGEO30;DEPARTAMENTO30;PROVINCIA30;DISTRITO30
20230906;Área de Conservacón Regional;ACR22;Bosques El Chaupe, Cunia y Chinchiquilla;A;Cajamarca;12130.88;No corresponde;D.S. Nº 008-2019-MINAM;20191001; ;;555703892;60907;CAJAMARCA;SAN IGNACIO;TABACONAS;60905;CAJAMARCA;SAN IGNACIO;NAMBALLE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR22;Bosques El Chaupe, Cunia y Chinchiquilla;B;Cajamarca;9738.00;No corresponde;D.S. Nº 008-2019-MINAM;20191001; ;;555703892;60907;CAJAMARCA;SAN IGNACIO;TABACONAS;60905;CAJAMARCA;SAN IGNACIO;NAMBALLE;60904;CAJAMARCA;SAN IGNACIO;LA COIPA;60902;CAJAMARCA;SAN IGNACIO;CHIRINOS;60901;CAJAMARCA;SAN IGNACIO;SAN IGNACIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR23;Sistema de Lomas de Lima;Lomas de Carabayllo1;Lima;228.97;No corresponde;D.S. N° 011-2019-MINAM;20191207; ;;555703893;150106;LIMA;LIMA;CARABAYLLO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR23;Sistema de Lomas de Lima;Lomas de Carabayllo2;Lima;198.26;No corresponde;D.S. N° 011-2019-MINAM;20191207; ;;555703893;150106;LIMA;LIMA;CARABAYLLO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR23;Sistema de Lomas de Lima;Lomas de Ancón;Lima;12166.61;No corresponde;D.S. N° 011-2019-MINAM;20191207; ;;555703893;150102;LIMA;LIMA;ANCON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR23;Sistema de Lomas de Lima;Lomas de Villa María;Lima;627.94;No corresponde;D.S. N° 011-2019-MINAM;20191207; ;;555703893;150133;LIMA;LIMA;SAN JUAN DE MIRAFLORES;150143;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;150114;LIMA;LIMA;LA MOLINA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR23;Sistema de Lomas de Lima;Lomas de Amancaes;Lima;253.96;No corresponde;D.S. N° 011-2019-MINAM;20191207; ;;555703893;150128;LIMA;LIMA;RIMAC;150112;LIMA;LIMA;INDEPENDENCIA;150132;LIMA;LIMA;SAN JUAN DE LURIGANCHO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR24;Ausangate;;Cusco;66514.17;No corresponde;D.S. N° 012-2019-MINAM;20191212; ;;555703894;81210;CUSCO;QUISPICANCHI;OCONGATE;80602;CUSCO;CANCHIS;CHECACUPE;80605;CUSCO;CANCHIS;PITUMARCA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR25;Bosque Montano de Carpish;;Huánuco;50559.21;No corresponde;D.S. N° 014-2019-MINAM;20200101; ;;555703895;100311;HUANUCO;DOS DE MAYO;MARIAS;100606;HUANUCO;LEONCIO PRADO;MARIANO DAMASO BERAUN;100507;HUANUCO;HUAMALIES;MONZON;100103;HUANUCO;HUANUCO;CHINCHAO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230906;Área de Conservacón Regional;ACR26;Chuyapi Urusayhua;;Cusco;80190.78;No corresponde;D.S. Nº 003-2021-MINAM;20210325; ;;555745295;80902;CUSCO;LA CONVENCION;ECHARATE;80901;CUSCO;LA CONVENCION;SANTA ANA;80909;CUSCO;LA CONVENCION;VILCABAMBA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
